City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Georgetown,MY,2020-04-16 07:05:41,5.41,100.34,91.4,59,20,5.82
1,Avarua,CK,2020-04-16 07:03:25,-21.21,-159.78,75.2,78,95,3.36
2,Karla,EE,2020-04-16 07:05:41,59.37,24.93,41.0,93,90,14.99
3,Muzhi,RU,2020-04-16 07:05:41,65.37,64.67,29.59,98,100,13.38
4,Bluff,NZ,2020-04-16 07:05:42,-46.6,168.33,50.0,85,95,10.0
5,Belaya Gora,RU,2020-04-16 07:05:42,68.53,146.42,7.36,92,100,11.27
6,Torbay,CA,2020-04-16 07:05:16,47.67,-52.73,35.01,100,90,13.87
7,Castro,BR,2020-04-16 07:05:43,-24.79,-50.01,44.96,51,0,2.35
8,Upernavik,GL,2020-04-16 07:05:43,72.79,-56.15,18.95,87,100,4.65
9,Viedma,AR,2020-04-16 07:05:43,-40.81,-63.0,62.94,44,99,17.31
10,Jamestown,US,2020-04-16 07:05:43,42.1,-79.24,28.99,92,20,4.7
11,Rikitea,PF,2020-04-16 07:05:44,-23.12,-134.97,76.39,84,100,12.91
12,Rawlins,US,2020-04-16 07:05:44,41.79,-107.24,28.4,85,90,20.8
13,Mahebourg,MU,2020-04-16 07:05:44,-20.41,57.7,82.4,65,75,16.11
14,Campobello Di Licata,IT,2020-04-16 07:05:44,37.26,13.92,55.4,82,93,3.36
15,Saint-Philippe,RE,2020-04-16 07:05:45,-21.36,55.77,82.4,61,6,24.16
16,Ercis,TR,2020-04-16 07:05:45,39.03,43.36,53.6,37,75,8.05
17,Port Elizabeth,ZA,2020-04-16 07:05:45,-33.92,25.57,62.6,82,94,12.75
18,Porbandar,IN,2020-04-16 07:05:46,21.64,69.61,89.35,41,38,13.09
19,Coos Bay,US,2020-04-16 07:05:46,43.37,-124.22,50.0,93,90,6.93
20,Port Lincoln,AU,2020-04-16 07:05:46,-34.73,135.87,61.7,59,68,15.7
21,Kardla,EE,2020-04-16 07:05:46,59.0,22.75,39.0,86,75,24.0
22,Hobart,AU,2020-04-16 07:03:32,-42.88,147.33,57.2,41,40,19.46
23,Krasnoarmeyskoye,RU,2020-04-16 07:05:47,52.72,50.03,42.8,62,85,11.74
24,Port Alfred,ZA,2020-04-16 07:01:11,-33.59,26.89,68.0,75,79,3.0
25,Ushuaia,AR,2020-04-16 07:05:47,-54.8,-68.3,44.6,87,95,4.43
26,Le Port,RE,2020-04-16 07:05:48,-20.94,55.29,82.4,61,0,23.04
27,Airai,TL,2020-04-16 07:05:48,-8.93,125.41,65.57,74,100,1.9
28,Busselton,AU,2020-04-16 07:01:16,-33.65,115.33,71.01,33,21,7.31
29,Punta Arenas,CL,2020-04-16 07:04:36,-53.15,-70.92,46.4,81,40,5.82
30,Prieska,ZA,2020-04-16 07:05:49,-29.66,22.75,62.35,21,3,2.62
31,Constitucion,CL,2020-04-16 07:05:49,-35.33,-72.42,52.86,69,72,3.56
32,Cabedelo,BR,2020-04-16 07:05:49,-6.98,-34.83,75.2,100,40,4.7
33,Moree,AU,2020-04-16 07:05:50,-29.47,149.85,86.0,25,15,8.05
