City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain Inches (last 3 hrs),Snow Inches (last 3 hrs)
Busselton,AU,2020-04-20 04:43:58,-33.65,115.33,69.01,65,97,11.99,light rain,0.3,0.0
Laguna,US,2020-04-20 04:39:00,38.42,-121.42,60.01,67,1,5.82,clear sky,0.0,0.0
Naro Moru,KE,2020-04-20 04:44:00,-0.17,37.02,58.3,53,100,1.77,light rain,2.48,0.0
Port Alfred,ZA,2020-04-20 04:32:14,-33.59,26.89,69.01,64,0,4.61,clear sky,0.0,0.0
Arraial Do Cabo,BR,2020-04-20 04:32:26,-22.97,-42.03,70.61,81,46,7.05,scattered clouds,0.0,0.0
Ribeira Brava,PT,2020-04-20 04:44:02,32.65,-17.07,62.01,79,14,4.0,light rain,0.15,0.0
Igualada,ES,2020-04-20 04:44:03,41.58,1.62,57.0,91,100,5.01,light rain,0.0,0.0
Machali,CL,2020-04-20 04:44:03,-34.18,-70.67,65.07,29,2,2.21,clear sky,0.0,0.0
Bengkulu,ID,2020-04-20 04:33:20,-3.8,102.27,88.72,59,47,6.26,scattered clouds,0.0,0.0
Vestmannaeyjar,IS,2020-04-20 04:36:44,63.44,-20.27,46.38,92,100,26.24,light rain,0.18,0.0
Sfantu Gheorghe,RO,2020-04-20 04:44:05,45.87,25.78,43.0,88,99,5.77,light rain,0.19,0.0
Kruisfontein,ZA,2020-04-20 04:42:09,-34.0,24.73,68.2,49,0,1.9,clear sky,0.0,0.0
Cape Town,ZA,2020-04-20 04:33:30,-33.93,18.42,63.0,77,75,14.99,broken clouds,0.0,0.0
Karia,NG,2020-04-20 04:44:08,11.73,11.16,79.02,14,52,4.79,broken clouds,0.0,0.0
Lagoa,PT,2020-04-20 04:38:14,39.05,-27.98,56.62,57,19,9.51,few clouds,0.0,0.0
Hambantota,LK,2020-04-20 04:41:04,6.12,81.12,89.6,79,20,13.87,few clouds,0.0,0.0
Derzhavinsk,KZ,2020-04-20 04:44:10,51.1,66.32,70.59,28,92,17.81,overcast clouds,0.0,0.0
Punta Arenas,CL,2020-04-20 04:37:05,-53.15,-70.92,42.8,75,40,28.86,scattered clouds,0.0,0.0
Ilulissat,GL,2020-04-20 04:37:30,69.22,-51.1,24.8,58,100,29.97,light shower snow,0.0,0.0
