City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
Bengkulu,ID,88.72,scattered clouds,-3.8,102.27,Grage Hotel Bengkulu
Karia,NG,79.02,broken clouds,11.73,11.16,
Hambantota,LK,89.6,few clouds,6.12,81.12,Bungalow 63
Geraldton,AU,75.0,broken clouds,-28.77,114.6,Broadwater Mariner Resort
Pindiga,NG,77.02,broken clouds,9.98,10.93,Accommodation Center
Wattegama,LK,89.6,few clouds,6.8,81.48,
Hithadhoo,MV,85.08,overcast clouds,-0.6,73.08,Scoop Guest House
Salalah,OM,82.4,few clouds,17.02,54.09,HAMDAN PLAZA HOTEL
Itarema,BR,76.3,few clouds,-2.92,-39.92,Windvillage
Cockburn Town,TC,79.09,scattered clouds,21.46,-71.14,Osprey Beach Hotel
Mahebourg,MU,75.2,shower rain,-20.41,57.7,Shandrani Beachcomber Resort & Spa
East London,ZA,84.2,clear sky,-33.02,27.91,Tu Casa
Laureles,US,78.01,mist,26.11,-97.49,Los Fresnos Inn
Jizan,SA,86.0,broken clouds,17.33,42.67,شهدان. ابوالحجر
Abu Kamal,SY,82.06,broken clouds,34.45,40.92,
Grand Gaube,MU,75.2,shower rain,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
Abu Dhabi,AE,87.8,overcast clouds,24.47,54.37,Beach Rotana
Saint-Georges,GD,78.8,light intensity shower rain,12.06,-61.75,Radisson Grenada Beach Resort
Khuzdar,PK,77.86,broken clouds,27.74,66.64,jhalwan Rent A Car Compny Moola Chotok
Saint-Philippe,RE,79.0,scattered clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
Bandarbeyla,SO,83.8,broken clouds,9.49,50.81,REER XOOSHLE GROUP
Souillac,MU,75.2,shower rain,-20.52,57.52,Bils' Villa
Bara,NG,80.33,broken clouds,10.37,10.73,
Maine-Soroa,NE,81.66,broken clouds,13.21,12.02,
Kaka,TM,77.32,clear sky,37.35,59.61,
Minab,IR,80.6,few clouds,27.15,57.08,فروشگاه موبایل ترکمانی
Arlit,NE,83.25,clear sky,18.74,7.39,Hôtel Telwa Bungalow
Lake City,US,77.0,scattered clouds,30.19,-82.64,Ramada Limited Lake City
Yenagoa,NG,76.46,overcast clouds,4.92,6.26,Amba Hotels Limited
Bathsheba,BB,78.8,few clouds,13.22,-59.52,Atlantis Hotel
Odweyne,SO,78.39,overcast clouds,9.41,45.06,Eng Hiirey House
Goundam,ML,82.65,overcast clouds,16.41,-3.67,
